# clustering v1.3.2 - mpp
#
# Created Wed Apr 19 08:47:33 2023
# by following command:
#
# clustering mpp -s hp35.dihs.res3-33.shifted.gaussian10f_microstates_pcs4_p153 -l 50 -D hp35.dihs.res3-33.shifted.gaussian10f.fe_pcs4 -o hp35.dihs.res3-33.shifted.gaussian10f_microstates_pcs4_p153.mpp50 -v 
#
# Copyright (c) 2015-2019 Florian Sittel and Daniel Nagel
# please cite the corresponding paper, see https://github.com/moldyn/clustering
#
# The following comments are reused for identifying
# user-based mistakes and should not be modified.
#@   clustering_radius = 0.07194
#@   lumping_radius = 0.07194
#@   minimal_population = 153.00000
#@   screening_from = 0.10000
#@   screening_step = 0.10000
#@   screening_to = 12.08838
#
# Specifies the linkage matrix, so at which qmin value
# which states are lumped.
# state_i state_j qmin
2 1 0.969999
3 2 0.78
4 3 0.26
5 1 0.41
6 1 0.989999
7 1 0.63
8 6 0.72
9 3 0.46
10 3 0.52
11 6 0.3
12 6 0.29
13 2 0.17
14 1 0.09
15 8 0.19
16 6 0.27
17 8 0.19
18 6 0.19
19 2 0.36
20 6 0.22
21 3 0.31
22 3 0.51
23 8 0.16
24 6 0.21
25 6 0.36
26 3 0.19
27 6 0.24
28 3 0.2
29 8 0.2
30 7 0.35
31 36 0.48
32 6 0.24
33 22 0.24
34 6 0.14
35 3 0.05
36 6 0.849999
37 16 0.13
38 6 0.2
39 6 0.11
40 6 0.14
41 1 0.26
42 6 0.38
43 8 0.1
44 3 0.15
45 36 0.47
46 3 0.06
47 6 0.2
48 6 0.37
49 8 0.17
50 6 0.11
51 6 0.22
52 6 0.27
53 8 0.2
54 8 0.36
55 2 0.21
56 6 0.4
57 8 0.21
58 6 0.18
59 8 0.19
60 8 0.18
61 22 0.12
62 8 0.17
63 8 0.25
64 6 0.43
65 6 0.56
66 27 0.17
67 6 0.27
68 22 0.29
69 3 0.24
70 8 0.24
71 6 0.39
72 6 0.1
73 12 0.14
74 2 0.09
75 6 0.47
76 34 0.08
77 6 0.32
78 51 0.13
79 6 0.23
80 67 0.12
81 6 0.2
82 6 0.16
83 6 0.16
84 6 0.31
85 6 0.15
86 6 0.31
87 6 0.12
88 65 0.36
89 8 0.21
90 6 0.38
91 6 0.11
92 65 0.32
93 8 0.2
94 10 0.25
