# clustering v1.3.2 - mpp
#
# Created Mon Apr 17 12:58:01 2023
# by following command:
#
# clustering mpp -s hp35.selected_contacts.gaussian10f_microstates_pcs5_p153 -l 50 -D hp35.selected_contacts.gaussian10f.fe_pcs5 -o hp35.selected_contacts.gaussian10f_microstates_pcs5_p153.mpp50 -v 
#
# Copyright (c) 2015-2019 Florian Sittel and Daniel Nagel
# please cite the corresponding paper, see https://github.com/moldyn/clustering
#
# The following comments are reused for identifying
# user-based mistakes and should not be modified.
#@   clustering_radius = 0.12404
#@   lumping_radius = 0.12404
#@   minimal_population = 153.00000
#@   screening_from = 0.10000
#@   screening_step = 0.10000
#@   screening_to = 12.09593
#
# Specifies the linkage matrix, so at which qmin value
# which states are lumped.
# state_i state_j qmin
2 1 0.74
3 1 0.72
4 1 0.7
5 1 0.74
6 11 0.69
7 3 0.18
8 4 0.29
9 13 0.65
10 5 0.33
11 12 0.909999
12 1 0.999999
13 12 0.889999
14 1 0.17
15 12 0.68
16 11 0.42
17 12 0.53
18 12 0.78
19 12 0.37
20 4 0.25
21 1 0.39
22 1 0.31
23 12 0.47
24 11 0.4
25 5 0.32
26 6 0.29
27 19 0.16
28 12 0.22
29 11 0.37
30 1 0.38
31 11 0.22
32 3 0.27
33 11 0.29
34 4 0.32
35 11 0.4
36 12 0.39
37 13 0.81
38 12 0.22
39 15 0.31
40 15 0.18
41 12 0.25
42 11 0.22
43 11 0.32
44 12 0.28
45 15 0.35
46 11 0.41
47 11 0.27
48 5 0.08
49 12 0.22
50 11 0.32
51 44 0.18
52 37 0.53
53 12 0.47
54 15 0.31
55 5 0.32
56 1 0.31
57 11 0.25
58 15 0.16
59 12 0.18
60 12 0.25
61 11 0.4
62 12 0.24
63 11 0.24
64 13 0.46
65 11 0.33
66 12 0.14
67 18 0.58
68 12 0.31
69 5 0.24
70 11 0.31
71 11 0.37
72 250 0.14
73 11 0.36
74 6 0.39
75 13 0.74
76 6 0.26
77 19 0.22
78 12 0.34
79 18 0.56
80 11 0.28
81 11 0.16
82 19 0.21
83 5 0.46
84 11 0.34
85 12 0.32
86 18 0.51
87 15 0.37
88 12 0.21
89 12 0.15
90 13 0.49
91 11 0.32
92 5 0.09
93 11 0.33
94 15 0.27
95 11 0.44
96 37 0.37
97 13 0.27
98 15 0.34
99 12 0.33
100 11 0.2
101 18 0.26
102 46 0.33
103 15 0.32
104 19 0.31
105 15 0.28
106 12 0.17
107 79 0.2
108 15 0.21
109 11 0.37
110 11 0.28
111 13 0.28
